#{"t_start": 1754409246.5325806, "env_id": "CarRacing-v3"}
r,l,t
-76.744186,1000,27.987511
-65.870307,1000,39.027249
-70.967742,1000,49.974773
-59.259259,1000,60.06321
-66.555184,1000,72.175949
-62.837838,1000,84.133983
-65.250965,1000,95.975077
-68.871595,1000,107.731228
-66.442953,1000,119.492704
-65.944272,1000,130.863696
-73.770492,1000,145.519825
-82.404692,1000,162.660625
-79.452055,1000,179.29867
-58.333333,1000,196.215958
-76.109215,1000,211.363546
-65.909091,1000,226.318818
-77.848101,1000,242.279407
-80.620155,1000,258.740635
-80.19802,1000,276.807489
-75.265018,1000,294.768858
-59.51417,1000,310.819475
-65.870307,1000,327.753466
-79.094077,1000,345.52444
-80.456026,1000,362.404891
-79.72973,1000,378.967381
-86.206897,1000,395.448077
-80.978261,1000,412.994339
-66.216216,1000,430.300751
-82.014388,1000,448.11407
-72.696246,1000,465.542534
-73.333333,1000,483.67272
-81.617647,1000,500.992237
-85.294118,1000,518.450032
-67.63754,1000,537.566922
-52.702703,1000,556.381159
-70.873786,1000,573.32498
-73.244147,1000,591.723978
-73.333333,1000,608.642754
-62.328767,1000,625.466467
-63.45515,1000,641.823602
-55.719557,1000,658.484429
-48.979592,1000,674.866039
-50.166113,1000,691.395676
-44.852941,1000,708.239782
-79.041916,1000,726.199215
-76.190476,1000,743.382304
-79.041916,1000,762.279304
-47.183099,1000,781.166517
-51.492537,1000,799.518517
-66.777409,1000,817.703799
-76.351351,1000,834.765742
-64.157706,1000,851.373187
-56.989247,1000,868.080276
-34.615385,1000,885.924561
-33.070866,1000,904.48393
-73.333333,1000,922.405148
-56.834532,1000,940.602273
-55.172414,1000,958.780909
-77.491961,1000,976.3755
-72.762646,1000,991.533848
-54.12844,1000,1004.199425
-76.973684,1000,1016.995144
-73.770492,1000,1032.174599
-60.13289,1000,1048.259456
-64.426877,1000,1062.860285
-75.975976,1000,1079.420556
-74.637681,1000,1095.708241
-76.5625,1000,1107.482788
-78.723404,1000,1119.60612
-78.571429,1000,1131.749398
-78.873239,1000,1143.967269
-78.947368,1000,1155.899372
-74.074074,1000,1167.976455
-77.707006,1000,1180.008265
-79.166667,1000,1192.093673
-78.10219,1000,1204.25356
-77.777778,1000,1216.385056
-72.696246,1000,1228.323076
-48.012232,1000,1240.292439
-75.177305,1000,1252.02946
-66.216216,1000,1264.38549
-47.712418,1000,1277.050578
-56.363636,1000,1289.11527
-83.870968,1000,1301.241964
-58.188153,1000,1313.311671
-71.428571,1000,1325.292318
-72.318339,1000,1337.458063
-53.488372,1000,1349.684224
-39.189189,1000,1361.751936
-50.381679,1000,1373.385632
-67.320261,1000,1385.540236
-51.724138,1000,1397.667257
-73.154362,1000,1409.958593
-71.518987,1000,1421.996535
-57.142857,1000,1434.092017
-58.730159,1000,1446.022256
2.310231,1000,1457.991491
-34.306569,1000,1469.705185
-37.086093,1000,1481.283191
17.857143,1000,1493.14659
-41.176471,1000,1505.169303
-72.027972,1000,1516.847304
-67.213115,1000,1528.796232
-60.992908,1000,1540.728605
-83.766234,1000,1552.859932
-71.631206,1000,1564.993571
-65.635739,1000,1577.012432
-51.310861,1000,1588.676354
-5.797101,1000,1600.545366
-64.0,1000,1612.025793
-117.493851,985,1623.702984
15.789474,1000,1635.356333
-110.711864,481,1640.917714
-108.363964,445,1646.16334
-58.477509,1000,1657.757972
-55.465587,1000,1669.376429
-77.635783,1000,1681.428823
-76.351351,1000,1693.271533
16.883117,1000,1704.976779
-131.183276,620,1711.998883
16.607774,1000,1723.540537
10.367893,1000,1735.163185
-79.166667,1000,1747.108418
-67.272727,1000,1759.153036
-86.710963,1000,1771.106857
-70.238095,1000,1783.524222
-74.025974,1000,1795.536437
-70.80292,1000,1807.241691
-63.099631,1000,1819.182372
-58.477509,1000,1831.079214
-60.0,1000,1842.804834
-68.152866,1000,1854.512974
-59.70696,1000,1866.353904
-79.381443,1000,1878.183784
-75.384615,1000,1889.829575
-74.264706,1000,1901.722574
-71.631206,1000,1913.653059
-54.385965,1000,1925.355085
-23.636364,1000,1936.916359
-77.419355,1000,1948.865222
-70.326409,1000,1960.699602
-80.89172,1000,1972.361116
-75.265018,1000,1984.287074
-77.987421,1000,1996.554676
-56.521739,1000,2008.41707
-73.076923,1000,2020.09883
-79.93311,1000,2032.066044
-71.223022,1000,2044.089869
-67.741935,1000,2056.004686
-74.522293,1000,2067.842391
-74.637681,1000,2079.481887
-67.625899,1000,2091.350034
-23.913043,1000,2103.408128
-78.571429,1000,2115.294671
-82.817869,1000,2127.090429
-86.348123,1000,2139.171312
-83.050847,1000,2150.748259
-86.338798,1000,2162.77281
-80.694981,1000,2174.70564
-57.703927,1000,2186.97829
-63.69637,1000,2198.889163
-72.392638,1000,2210.877611
-76.89769,1000,2222.936026
-79.768786,1000,2235.278089
-82.817869,1000,2247.180836
-79.661017,1000,2258.828563
-73.584906,1000,2270.6286
-64.179104,1000,2282.863309
-74.637681,1000,2294.606021
-82.758621,1000,2306.329933
-65.517241,1000,2317.846408
-82.014388,1000,2329.521795
-68.152866,1000,2341.589703
-75.206612,1000,2353.328119
-74.440895,1000,2365.527661
-63.114754,1000,2377.366656
-76.271186,1000,2389.212617
-78.461538,1000,2401.3151
-77.419355,1000,2413.388356
-82.578397,1000,2424.990845
-68.253968,1000,2436.669312
-71.326165,1000,2448.22685
-81.481481,1000,2459.902333
-80.0,1000,2472.115682
-83.606557,1000,2484.471233
-80.456026,1000,2496.397707
-81.751825,1000,2507.964664
-74.910394,1000,2519.757522
-65.189873,1000,2531.323971
-70.80292,1000,2542.609966
-74.522293,1000,2554.308401
-70.37037,1000,2565.901922
-79.381443,1000,2577.423911
-81.012658,1000,2589.453315
-59.854015,1000,2601.307448
-69.387755,1000,2613.192939
-67.105263,1000,2624.872805
-80.327869,1000,2636.385903
-75.945017,1000,2648.075442
-69.491525,1000,2659.889214
-78.417266,1000,2671.528288
-79.661017,1000,2682.994024
-78.647687,1000,2695.046048
-78.33935,1000,2706.956925
-65.189873,1000,2718.948936
-57.377049,1000,2730.795464
-46.058091,1000,2742.392851
-62.711864,1000,2754.42326
-67.97153,1000,2766.418766
-66.329966,1000,2778.380139
-68.75,1000,2789.96684
-72.508591,1000,2801.541403
-79.351032,1000,2813.520554
-76.510067,1000,2825.543504
-69.387755,1000,2837.788821
-66.101695,1000,2849.810963
-82.206406,1000,2861.747835
-61.977186,1000,2873.754854
-79.310345,1000,2885.786945
-59.459459,1000,2898.149977
-62.5,1000,2909.828718
-73.154362,1000,2921.74766
-70.967742,1000,2933.677765
-81.343284,1000,2945.66272
-78.181818,1000,2957.724621
-80.19802,1000,2969.658732
-82.332155,1000,2981.410396
-81.751825,1000,2993.079727
-79.166667,1000,3004.946231
-70.37037,1000,3016.721264
-64.539007,1000,3028.711614
-68.847352,1000,3040.797345
-79.452055,1000,3052.776161
-77.198697,1000,3065.187642
-81.684982,1000,3077.287872
-80.19802,1000,3089.450439
-83.108108,1000,3101.809553
-84.939759,1000,3114.07461
-82.817869,1000,3126.019563
-83.552632,1000,3138.22521
-50.657895,1000,3150.428194
-81.549815,1000,3162.291705
-85.074627,1000,3174.262569
-83.552632,1000,3186.387024
-81.343284,1000,3198.251596
-82.698962,1000,3210.280134
-83.164983,1000,3222.575295
-81.273408,1000,3234.686886
-70.674487,1000,3247.575711
-83.552632,1000,3259.620896
-85.465116,1000,3271.764857
-78.494624,1000,3283.738121
-67.741935,1000,3295.458414
-76.923077,1000,3307.468126
-81.684982,1000,3319.639084
-71.061093,1000,3331.919518
-74.637681,1000,3343.905938
-81.25,1000,3356.30395
-57.746479,1000,3368.3593
-84.47205,1000,3380.48478
-78.10219,1000,3392.197282
-69.348659,1000,3403.786476
-83.974359,1000,3415.415494
-82.876712,1000,3427.481064
-81.949458,1000,3439.376943
-81.412639,1000,3451.032868
-80.456026,1000,3462.944131
-83.81877,1000,3474.944122
-72.54902,1000,3486.822206
-75.352113,1000,3498.454657
-74.358974,1000,3510.625619
-80.263158,1000,3522.794156
-77.707006,1000,3534.898647
-77.124183,1000,3547.355118
-73.59736,1000,3559.449065
-72.477064,1000,3571.887542
-71.830986,1000,3584.04828
-72.789116,1000,3596.075079
-67.105263,1000,3607.967439
-69.594595,1000,3619.77305
-77.777778,1000,3631.551936
-79.166667,1000,3642.672648
-55.05618,1000,3654.526169
-80.645161,1000,3666.529102
-80.327869,1000,3679.111473
-79.452055,1000,3691.445394
-80.392157,1000,3703.613631
-70.260223,1000,3716.398988
-80.952381,1000,3729.515838
-83.606557,1000,3741.633482
-76.027397,1000,3754.066498
-78.947368,1000,3766.686686
-79.452055,1000,3779.255611
-81.060606,1000,3791.47816
-82.195846,1000,3803.566336
-78.947368,1000,3815.338144
-82.876712,1000,3827.010015
-49.367089,1000,3838.472101
-75.177305,1000,3850.297123
-76.047904,1000,3862.428353
-81.060606,1000,3874.008493
